Name,Birthday,Department,Hiring
Kateryna Campanez,march 23,marketing,august 28
Peter Velaskez,october 22,rnd,january 18
Peter Campanez,november 19,marketing,may 6
Kateryna Degtiarenko,april 23,rnd,may 11
Agnes Degtiarenko,february 3,rnd,july 7
Agnes Sylvia,december 7,sales,september 9
Peter Nikitenko,june 12,sales,march 11
Peter Velaskez,january 19,sales,december 8
Vasiliy Otti,august 22,marketing,august 7
Peter Carrol,july 26,sales,february 20
Sergio Campanez,february 3,rnd,august 1
Kateryna Nikitenko,december 11,rnd,april 8
Giovanni Degtiarenko,november 4,communication,may 17
Sergio Nikitenko,november 13,sales,august 1
Giovanni Carrol,may 18,communication,may 12
Kateryna Radchenko,november 24,rnd,january 25
Vasiliy Nikitenko,july 27,rnd,december 12
Peter Campanez,september 1,sales,july 8
Dario Otti,august 26,sales,february 1
Vasiliy Radchenko,march 28,rnd,november 19
Vasiliy Velaskez,december 21,marketing,december 2
Giovanni Degtiarenko,july 19,marketing,november 2
Dario Campanez,september 7,sales,september 11
Peter Carrol,january 12,communication,may 18
Anna Otti,november 24,communication,september 6
Giovanni Radchenko,october 24,rnd,september 1
Sergio Sylvia,october 25,communication,june 28
Agnes Campanez,april 2,sales,march 9
Giovanni Carrol,november 17,sales,september 3
Kateryna Otti,september 21,communication,april 4
Agnes Campanez,july 14,communication,february 4
Peter Sylvia,september 14,marketing,january 8
Vasiliy Velaskez,october 8,communication,february 20
Sergio Campanez,december 9,rnd,february 16
Anna Campanez,february 2,sales,june 21
Anna Degtiarenko,march 22,communication,december 14
Dario Carrol,may 2,rnd,february 16
Sergio Otti,february 15,communication,april 19
Agnes Velaskez,june 8,marketing,november 10
Giovanni Nikitenko,april 21,marketing,january 21
Agnes Sylvia,march 11,communication,february 9
Peter Velaskez,may 27,communication,december 19
Agnes Radchenko,august 25,marketing,october 11
Vasiliy Campanez,september 21,marketing,october 9
Peter Nikitenko,august 4,rnd,april 14
Dario Carrol,march 12,sales,january 12
Dario Otti,september 27,marketing,april 22
Agnes Otti,may 15,sales,august 19
Anna Nikitenko,january 13,communication,october 4
Dario Velaskez,april 8,marketing,january 24
Giovanni Otti,february 11,communication,november 4
Vasiliy Otti,december 8,marketing,november 20
Sergio Velaskez,october 26,communication,july 21
Peter Velaskez,april 1,marketing,february 22
Vasiliy Velaskez,june 11,communication,november 22
Sergio Radchenko,october 17,communication,september 1
Agnes Otti,september 13,communication,february 17
Peter Campanez,december 5,communication,january 2
Agnes Radchenko,september 6,rnd,april 2
Dario Campanez,august 17,marketing,december 17
Agnes Radchenko,november 24,sales,january 24
Anna Velaskez,january 9,rnd,december 22
Vasiliy Velaskez,march 20,sales,august 10
Vasiliy Nikitenko,april 10,marketing,july 21
Kateryna Velaskez,september 8,marketing,april 18
Anna Degtiarenko,september 16,sales,december 25
Agnes Carrol,may 23,marketing,november 3
Agnes Sylvia,october 9,communication,december 19
Peter Carrol,april 11,sales,april 23
Sergio Campanez,october 3,rnd,july 22
Sergio Otti,april 15,sales,june 7
Agnes Degtiarenko,december 1,rnd,december 13
Anna Campanez,may 17,communication,july 25
Giovanni Otti,may 15,communication,april 11
Sergio Degtiarenko,january 11,marketing,june 4
Sergio Otti,november 16,sales,november 8
Anna Nikitenko,february 2,sales,december 13
Kateryna Sylvia,november 16,sales,january 5
Dario Carrol,december 6,marketing,february 15
Anna Campanez,december 26,rnd,june 12
Sergio Campanez,january 11,rnd,august 16
Dario Campanez,july 7,marketing,july 8
Agnes Degtiarenko,july 16,marketing,february 9
Giovanni Otti,may 20,marketing,january 19
Giovanni Sylvia,march 8,marketing,june 9
Agnes Radchenko,august 3,sales,august 20
Giovanni Nikitenko,april 2,marketing,february 4
Sergio Radchenko,june 26,communication,january 4
Sergio Degtiarenko,august 27,marketing,november 13
Vasiliy Campanez,september 13,rnd,october 24
Kateryna Otti,december 12,rnd,december 17
Agnes Carrol,august 3,sales,march 9
Agnes Sylvia,november 2,rnd,august 28
Vasiliy Velaskez,january 2,sales,october 17
Vasiliy Degtiarenko,february 14,rnd,july 13
Dario Nikitenko,october 12,marketing,april 5
Giovanni Campanez,may 21,marketing,december 4
Agnes Nikitenko,december 11,sales,november 3
Sergio Velaskez,august 20,communication,august 26
Anna Degtiarenko,october 22,communication,august 13
